,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypesOfSteel_A300,TypesOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults_(Class)
740,1145,1152,1083340.0,1083344.0,22.0,7.0,4.0,2871.0,116,148,1358,0,1,50,0.3034,0.2143,0.5714,0.0052,1.0,1.0,0.0,1.3424,0.8451,0.6021,-0.4286,0.0195,0.1384,0,0,0,1,0,0,1
741,570,579,1162279.0,1162292.0,86.0,17.0,13.0,9819.0,100,125,1358,0,1,50,0.8395,0.265,0.6923,0.0066,0.5294,1.0,1.0,1.9345,0.9542,1.1139,0.3077,-0.108,0.2253,0,0,0,1,0,0,1
742,1179,1191,1223690.0,1223696.0,42.0,14.0,7.0,5558.0,127,140,1360,0,1,50,0.2485,0.4167,0.5,0.0088,0.8571,0.8571,0.0,1.6233,1.0792,0.7782,-0.5,0.0338,0.1773,0,0,0,1,0,0,1
743,955,960,1260440.0,1260444.0,17.0,6.0,4.0,2246.0,120,149,1360,0,1,50,0.5882,0.15,0.8,0.0037,0.8333,1.0,0.0,1.2305,0.699,0.6021,-0.2,0.0322,0.1322,0,0,0,1,0,0,1
744,581,589,1273552.0,1273556.0,18.0,9.0,5.0,2274.0,110,141,1362,0,1,50,0.8532,0.4375,0.5,0.0059,0.8889,0.8,0.0,1.2553,0.9031,0.6021,-0.5,-0.013,0.1417,0,0,0,1,0,0,1
745,778,782,1292292.0,1292296.0,12.0,4.0,4.0,1537.0,112,149,1360,0,1,50,0.85,0.25,1.0,0.0029,1.0,1.0,0.5,1.0792,0.6021,0.6021,0.0,0.0007,0.1292,0,0,0,1,0,0,1
746,977,981,1311529.0,1311535.0,12.0,5.0,6.0,1563.0,125,143,1358,0,1,50,0.5552,0.5,0.6667,0.003,0.8,1.0,1.0,1.0792,0.6021,0.7782,0.3333,0.0176,0.1353,0,0,0,1,0,0,1
747,604,608,1322072.0,1322076.0,12.0,4.0,4.0,1543.0,110,140,1358,0,1,50,0.8895,0.25,1.0,0.003,1.0,1.0,0.5,1.0792,0.6021,0.6021,0.0,0.0046,0.1292,0,0,0,1,0,0,1
748,1254,1259,1333074.0,1333079.0,12.0,5.0,5.0,1528.0,115,141,1358,0,1,50,0.1458,0.52,1.0,0.0037,1.0,1.0,0.5,1.0792,0.699,0.699,0.0,-0.0052,0.1361,0,0,0,1,0,0,1
749,799,804,1341292.0,1341296.0,12.0,5.0,4.0,1504.0,111,140,1360,0,1,50,0.8177,0.4,0.8,0.0037,1.0,1.0,0.0,1.0792,0.699,0.6021,-0.2,-0.0208,0.1322,0,0,0,1,0,0,1
750,1209,1218,1351649.0,1351652.0,14.0,10.0,4.0,1808.0,122,136,1356,0,1,50,0.2035,0.4815,0.3333,0.0066,0.9,0.75,0.0,1.1461,0.9542,0.4771,-0.6667,0.0089,0.1376,0,0,0,1,0,0,1
751,402,408,1361745.0,1361748.0,12.0,6.0,3.0,1541.0,111,142,1358,0,1,50,0.5921,0.3333,0.5,0.0044,1.0,1.0,0.0,1.0792,0.7782,0.4771,-0.5,0.0033,0.1307,0,0,0,1,0,0,1
752,752,759,1378585.0,1378588.0,15.0,7.0,3.0,1923.0,123,141,1360,0,1,50,0.8838,0.2857,0.4286,0.0052,1.0,1.0,0.0,1.1761,0.8451,0.4771,-0.5714,0.0016,0.133,0,0,0,1,0,0,1
753,621,627,1388036.0,1388039.0,12.0,6.0,3.0,1539.0,113,141,1358,0,1,50,0.9146,0.3333,0.5,0.0044,1.0,1.0,0.0,1.0792,0.7782,0.4771,-0.5,0.0019,0.1307,0,0,0,1,0,0,1
754,615,625,1398169.0,1398179.0,65.0,12.0,10.0,7104.0,89,126,1358,0,1,50,0.9057,0.35,1.0,0.0074,0.8333,1.0,0.5,1.8129,1.0,1.0,0.0,-0.1461,0.2061,0,0,0,1,0,0,1
755,1217,1225,1413272.0,1413276.0,12.0,9.0,4.0,1509.0,112,143,1358,0,1,50,0.1959,0.625,0.5,0.0059,0.8889,1.0,0.0,1.0792,0.9031,0.6021,-0.5,-0.0176,0.1417,0,0,0,1,0,0,1
756,1196,1201,1423992.0,1423996.0,12.0,6.0,4.0,1585.0,128,141,1358,0,1,50,0.2312,0.4,0.8,0.0037,0.8333,1.0,0.0,1.0792,0.699,0.6021,-0.2,0.0319,0.1322,0,0,0,1,0,0,1
757,772,777,1436089.0,1436092.0,11.0,5.0,3.0,1398.0,111,135,1358,0,1,50,0.8557,0.2667,0.6,0.0037,1.0,1.0,0.0,1.0414,0.699,0.4771,-0.4,-0.0071,0.1284,0,0,0,1,0,0,1
758,425,430,1444004.0,1444009.0,17.0,6.0,5.0,2181.0,122,132,1358,0,1,50,0.6259,0.32,1.0,0.0037,0.8333,1.0,0.5,1.2305,0.699,0.699,0.0,0.0023,0.1361,0,0,0,1,0,0,1
759,584,590,83249.0,83253.0,15.0,6.0,4.0,1522.0,90,118,1358,0,1,50,0.8601,0.375,0.6667,0.0044,1.0,1.0,0.0,1.1761,0.7782,0.6021,-0.3333,-0.2073,0.1353,0,0,0,1,0,0,1
760,852,856,134988.0,134992.0,12.0,6.0,4.0,1335.0,99,127,1358,0,1,50,0.7393,0.25,1.0,0.003,0.6667,1.0,0.5,1.0792,0.6021,0.6021,0.0,-0.1309,0.1292,0,0,0,1,0,0,1
761,1035,1040,156370.0,156373.0,9.0,5.0,4.0,1063.0,107,126,1358,0,1,50,0.4683,0.4,0.6,0.0037,1.0,0.75,0.0,0.9542,0.699,0.4771,-0.4,-0.0773,0.1284,0,0,0,1,0,0,1
762,1182,1185,171874.0,171878.0,8.0,3.0,4.0,958.0,108,135,1362,0,1,50,0.2599,0.3333,0.75,0.0022,1.0,1.0,1.0,0.9031,0.4771,0.6021,0.25,-0.0645,0.1262,0,0,0,1,0,0,1
763,804,808,192327.0,192330.0,8.0,4.0,3.0,950.0,105,127,1360,0,1,50,0.8118,0.3333,0.75,0.0029,1.0,1.0,0.0,0.9031,0.6021,0.4771,-0.25,-0.0723,0.1262,0,0,0,1,0,0,1
764,517,521,203197.0,203200.0,9.0,4.0,4.0,1059.0,107,132,1360,0,1,50,0.7603,0.25,0.75,0.0029,1.0,0.75,0.0,0.9542,0.6021,0.4771,-0.25,-0.0807,0.1262,0,0,0,1,0,0,1
765,1229,1232,224240.0,224243.0,6.0,3.0,3.0,718.0,107,140,1358,0,1,50,0.1856,0.3333,1.0,0.0022,1.0,1.0,0.5,0.7782,0.4771,0.4771,0.0,-0.0651,0.124,0,0,0,1,0,0,1
766,855,861,237729.0,237731.0,6.0,6.0,2.0,775.0,118,136,1358,0,1,50,0.732,0.5,0.3333,0.0044,1.0,1.0,0.0,0.7782,0.7782,0.301,-0.6667,0.0091,0.1262,0,0,0,1,0,0,1
767,1291,1295,249736.0,249740.0,10.0,4.0,5.0,1233.0,119,132,1358,0,1,50,0.0928,0.375,1.0,0.003,1.0,0.8,0.5,1.0,0.6021,0.6021,0.0,-0.0367,0.1292,0,0,0,1,0,0,1
768,805,813,273908.0,273912.0,16.0,8.0,4.0,2121.0,114,148,1358,0,1,50,0.8026,0.5,0.5,0.0059,1.0,1.0,0.0,1.2041,0.9031,0.6021,-0.5,0.0356,0.1417,0,0,0,1,0,0,1
769,321,328,294032.0,294036.0,17.0,7.0,4.0,2183.0,121,135,1358,0,1,50,0.4728,0.3929,0.5714,0.0052,1.0,1.0,0.0,1.2305,0.8451,0.6021,-0.4286,0.0032,0.1384,0,0,0,1,0,0,1
770,323,334,367324.0,367330.0,28.0,11.0,7.0,3576.0,120,135,1358,0,1,50,0.4757,0.5758,0.5454,0.0081,1.0,0.8571,0.0,1.4472,1.0414,0.7782,-0.4545,-0.0022,0.1715,0,0,0,1,0,0,1
771,617,624,450379.0,450383.0,16.0,7.0,4.0,2042.0,114,140,1358,0,1,50,0.9087,0.4286,0.5714,0.0052,1.0,1.0,0.0,1.2041,0.8451,0.6021,-0.4286,-0.0029,0.1384,0,0,0,1,0,0,1
772,647,667,483796.0,483808.0,67.0,23.0,13.0,7595.0,92,132,1360,0,1,50,0.9515,0.7208,0.6,0.0147,0.8696,0.9231,0.0,1.8261,1.301,1.0792,-0.4,-0.1144,0.3977,0,0,0,1,0,0,1
773,805,811,598090.0,598094.0,16.0,6.0,4.0,2034.0,110,140,1360,0,1,50,0.8073,0.3333,0.6667,0.0044,1.0,1.0,0.0,1.2041,0.7782,0.6021,-0.3333,-0.0068,0.1353,0,0,0,1,0,0,1
774,475,482,626952.0,626956.0,18.0,7.0,4.0,2319.0,112,140,1360,0,1,50,0.6985,0.3571,0.5714,0.0052,1.0,1.0,0.0,1.2553,0.8451,0.6021,-0.4286,0.0065,0.1384,0,0,0,1,0,0,1
775,321,329,679386.0,679391.0,17.0,12.0,5.0,2193.0,121,140,1358,0,1,50,0.4728,0.575,0.625,0.0059,0.6667,1.0,0.0,1.2305,0.9031,0.699,-0.375,0.0078,0.1483,0,0,0,1,0,0,1
776,696,706,762234.0,762239.0,26.0,13.0,7.0,3330.0,120,140,1358,0,1,50,0.9602,0.48,0.5,0.0074,0.7692,0.7143,0.0,1.415,1.0,0.699,-0.5,0.0006,0.1569,0,0,0,1,0,0,1
777,1241,1248,796972.0,796976.0,18.0,7.0,5.0,2318.0,122,141,1356,0,1,50,0.1593,0.3571,0.5714,0.0052,1.0,0.8,0.0,1.2553,0.8451,0.6021,-0.4286,0.0061,0.1384,0,0,0,1,0,0,1
778,1196,1202,818584.0,818589.0,17.0,7.0,6.0,2267.0,129,142,1358,0,1,50,0.2298,0.4333,0.8333,0.0044,0.8571,0.8333,0.0,1.2305,0.7782,0.699,-0.1667,0.0418,0.14,0,0,0,1,0,0,1
779,489,494,847972.0,847976.0,16.0,6.0,4.0,2020.0,106,141,1358,0,1,50,0.7202,0.2,0.8,0.0037,0.8333,1.0,0.0,1.2041,0.699,0.6021,-0.2,-0.0137,0.1322,0,0,0,1,0,0,1
780,861,866,858604.0,858608.0,17.0,7.0,4.0,2214.0,114,142,1356,0,1,50,0.7227,0.15,0.8,0.0037,0.7143,1.0,0.0,1.2305,0.699,0.6021,-0.2,0.0175,0.1322,0,0,0,1,0,0,1
781,765,771,879259.0,879265.0,16.0,9.0,8.0,2069.0,123,140,1358,0,1,50,0.8645,0.5556,1.0,0.0044,0.6667,0.75,0.5,1.2041,0.7782,0.7782,0.0,0.0103,0.1449,0,0,0,1,0,0,1
782,563,568,888672.0,888676.0,17.0,6.0,4.0,2157.0,113,141,1356,0,1,50,0.8304,0.15,0.8,0.0037,0.8333,1.0,0.0,1.2305,0.699,0.6021,-0.2,-0.0087,0.1322,0,0,0,1,0,0,1
783,816,822,899659.0,899665.0,18.0,8.0,6.0,2384.0,127,141,1358,0,1,50,0.7894,0.5,1.0,0.0044,0.75,1.0,0.5,1.2553,0.7782,0.7782,0.0,0.0347,0.1449,0,0,0,1,0,0,1
784,686,692,909972.0,909977.0,18.0,6.0,5.0,2280.0,113,140,1358,0,1,50,0.9808,0.4,0.8333,0.0044,1.0,1.0,0.0,1.2553,0.7782,0.699,-0.1667,-0.0104,0.14,0,0,0,1,0,0,1
785,974,980,972384.0,972388.0,18.0,6.0,4.0,2370.0,117,148,1358,0,1,50,0.5567,0.25,0.6667,0.0044,1.0,1.0,0.0,1.2553,0.7782,0.6021,-0.3333,0.0287,0.1353,0,0,0,1,0,0,1
786,583,589,983183.0,983189.0,17.0,9.0,7.0,2198.0,122,142,1354,0,1,50,0.8612,0.5278,1.0,0.0044,0.6667,0.8571,0.5,1.2305,0.7782,0.7782,0.0,0.0101,0.1449,0,0,0,1,0,0,1
787,312,319,1013642.0,1013647.0,16.0,9.0,5.0,1967.0,115,133,1356,0,1,50,0.4602,0.5429,0.7143,0.0052,0.7778,1.0,0.0,1.2041,0.8451,0.699,-0.2857,-0.0395,0.1441,0,0,0,1,0,0,1
788,297,302,1028213.0,1028219.0,16.0,5.0,6.0,1990.0,120,132,1356,0,1,50,0.4381,0.4667,0.8333,0.0037,1.0,1.0,1.0,1.2041,0.699,0.7782,0.1667,-0.0283,0.14,0,0,0,1,0,0,1
789,305,319,1042404.0,1042410.0,32.0,16.0,8.0,4131.0,120,143,1356,0,1,50,0.4498,0.6191,0.4286,0.0103,0.875,0.75,0.0,1.5051,1.1461,0.7782,-0.5714,0.0085,0.1892,0,0,0,1,0,0,1
790,731,736,1069368.0,1069372.0,16.0,5.0,4.0,2025.0,109,141,1356,0,1,50,0.9144,0.2,0.8,0.0037,1.0,1.0,0.0,1.2041,0.699,0.6021,-0.2,-0.0112,0.1322,0,0,0,1,0,0,1
791,301,307,1095698.0,1095703.0,16.0,7.0,5.0,2001.0,119,134,1356,0,1,50,0.4439,0.4667,0.8333,0.0044,0.8571,1.0,0.0,1.2041,0.7782,0.699,-0.1667,-0.0229,0.14,0,0,0,1,0,0,1
792,756,762,1110856.0,1110861.0,16.0,6.0,5.0,2015.0,111,142,1358,0,1,50,0.8778,0.4667,0.8333,0.0044,1.0,1.0,0.0,1.2041,0.7782,0.699,-0.1667,-0.0161,0.14,0,0,0,1,0,0,1
793,301,309,1156107.0,1156111.0,21.0,8.0,5.0,2633.0,120,134,1358,0,1,50,0.4433,0.3438,0.5,0.0059,1.0,0.8,0.0,1.3222,0.9031,0.6021,-0.5,-0.0205,0.1417,0,0,0,1,0,0,1
794,575,581,1188740.0,1188745.0,17.0,8.0,5.0,2127.0,105,143,1358,0,1,50,0.8468,0.4333,0.8333,0.0044,0.75,1.0,0.0,1.2305,0.7782,0.699,-0.1667,-0.0225,0.14,0,0,0,1,0,0,1
795,1202,1212,1298256.0,1298260.0,22.0,10.0,4.0,2926.0,127,140,1358,0,1,50,0.215,0.45,0.4,0.0074,1.0,1.0,0.0,1.3424,1.0,0.6021,-0.6,0.0391,0.1483,0,0,0,1,0,0,1
796,307,319,1458128.0,1458136.0,49.0,19.0,12.0,6058.0,118,135,1358,0,1,50,0.4521,0.4896,0.6667,0.0088,0.6316,0.6667,0.0,1.6902,1.0792,0.9031,-0.3333,-0.0341,0.2018,0,0,0,1,0,0,1
797,689,696,1481144.0,1481148.0,16.0,7.0,4.0,1961.0,102,141,1360,0,1,50,0.9765,0.4286,0.5714,0.0052,1.0,1.0,0.0,1.2041,0.8451,0.6021,-0.4286,-0.0425,0.1384,0,0,0,1,0,0,1
798,1094,1101,1506525.0,1506531.0,17.0,7.0,7.0,2310.0,129,149,1360,0,1,50,0.3809,0.5952,0.8571,0.0052,1.0,0.8571,0.0,1.2305,0.8451,0.7782,-0.1429,0.0616,0.1499,0,0,0,1,0,0,1
799,303,311,1593115.0,1593120.0,18.0,9.0,8.0,2219.0,117,135,1360,0,1,50,0.4456,0.55,0.625,0.0059,0.8889,0.625,0.0,1.2553,0.9031,0.699,-0.375,-0.0369,0.1483,0,0,0,1,0,0,1
800,486,493,1622520.0,1622524.0,16.0,8.0,4.0,2062.0,109,140,1358,0,1,50,0.7158,0.4286,0.5714,0.0052,0.875,1.0,0.0,1.2041,0.8451,0.6021,-0.4286,0.0068,0.1384,0,0,0,1,0,0,1
801,599,604,1645544.0,1645548.0,16.0,5.0,4.0,2046.0,109,149,1360,0,1,50,0.8809,0.2,0.8,0.0037,1.0,1.0,0.0,1.2041,0.699,0.6021,-0.2,-0.001,0.1322,0,0,0,1,0,0,1
802,1236,1242,1667032.0,1667036.0,17.0,6.0,4.0,2167.0,109,144,1360,0,1,50,0.1735,0.2917,0.6667,0.0044,1.0,1.0,0.0,1.2305,0.7782,0.6021,-0.3333,-0.0041,0.1353,0,0,0,1,0,0,1
803,1235,1241,1681980.0,1681985.0,19.0,7.0,6.0,2420.0,120,140,1358,0,1,50,0.1723,0.3667,0.8333,0.0044,0.8571,0.8333,0.0,1.2787,0.7782,0.699,-0.1667,-0.0049,0.14,0,0,0,1,0,0,1
804,299,309,1692615.0,1692621.0,21.0,15.0,7.0,2683.0,120,141,1360,0,1,50,0.4397,0.65,0.6,0.0074,0.6667,0.8571,0.0,1.3222,1.0,0.7782,-0.4,-0.0019,0.1659,0,0,0,1,0,0,1
805,1273,1281,1709863.0,1709871.0,26.0,9.0,8.0,3341.0,120,141,1358,0,1,50,0.1134,0.5938,1.0,0.0059,0.8889,1.0,0.5,1.415,0.9031,0.9031,0.0,0.0039,0.1696,0,0,0,1,0,0,1
806,1140,1148,1733269.0,1733276.0,26.0,13.0,7.0,3431.0,123,143,1360,0,1,50,0.3118,0.5357,0.875,0.0059,0.6154,1.0,0.0,1.415,0.9031,0.8451,-0.125,0.031,0.1622,0,0,0,1,0,0,1
807,299,309,1738808.0,1738812.0,19.0,10.0,7.0,2351.0,116,134,1360,0,1,50,0.4397,0.525,0.4,0.0074,1.0,0.5714,0.0,1.2787,1.0,0.6021,-0.6,-0.0333,0.1483,0,0,0,1,0,0,1
808,1121,1128,1789332.0,1789337.0,17.0,9.0,6.0,2240.0,115,150,1360,0,1,50,0.3412,0.5143,0.7143,0.0052,0.7778,0.8333,0.0,1.2305,0.8451,0.699,-0.2857,0.0294,0.1441,0,0,0,1,0,0,1
809,543,548,1819724.0,1819728.0,16.0,5.0,4.0,2028.0,111,143,1360,0,1,50,0.7985,0.2,0.8,0.0037,1.0,1.0,0.0,1.2041,0.699,0.6021,-0.2,-0.0098,0.1322,0,0,0,1,0,0,1
810,1213,1219,1962342.0,1962347.0,16.0,9.0,6.0,2076.0,123,141,1358,0,1,50,0.2047,0.4667,0.8333,0.0044,0.6667,0.8333,0.0,1.2041,0.7782,0.699,-0.1667,0.0137,0.14,0,0,0,1,0,0,1
814,1324,1333,75642.0,75681.0,207.0,25.0,39.0,21354.0,93,124,1353,0,1,120,0.0296,0.4103,0.2308,0.0066,0.36,1.0,1.0,2.316,0.9542,1.5911,0.7692,-0.1941,0.5805,0,0,0,0,1,0,1
818,1324,1330,1543653.0,1543689.0,145.0,23.0,36.0,16920.0,108,127,1352,0,1,40,0.0325,0.3287,0.1667,0.0044,0.2609,1.0,1.0,2.1614,0.7782,1.5563,0.8333,-0.0884,0.3601,0,0,0,0,1,0,1
819,1325,1332,1564451.0,1564476.0,97.0,19.0,25.0,11608.0,111,133,1354,0,1,40,0.0325,0.4457,0.28,0.0052,0.3684,1.0,1.0,1.9868,0.8451,1.3979,0.72,-0.0651,0.2998,0,0,0,0,1,0,1
820,1326,1333,1581921.0,1581956.0,139.0,27.0,35.0,16441.0,110,132,1354,0,1,40,0.031,0.4326,0.2,0.0052,0.2593,1.0,1.0,2.143,0.8451,1.5441,0.8,-0.0759,0.4057,0,0,0,0,1,0,1
821,1325,1332,1599135.0,1599173.0,175.0,30.0,38.0,21073.0,111,133,1354,0,1,40,0.0325,0.3421,0.1842,0.0052,0.2333,1.0,1.0,2.243,0.8451,1.5798,0.8158,-0.0592,0.4399,0,0,0,0,1,0,1
822,1327,1332,1647908.0,1647954.0,144.0,20.0,47.0,17271.0,110,132,1354,0,1,40,0.0325,0.3739,0.1087,0.0037,0.25,0.9787,1.0,2.1584,0.699,1.6628,0.8913,-0.063,0.3819,0,0,0,0,1,0,1
823,1330,1334,1668998.0,1669028.0,73.0,15.0,30.0,8549.0,109,127,1358,0,1,40,0.0353,0.3917,0.1333,0.003,0.2667,1.0,1.0,1.8633,0.6021,1.4771,0.8667,-0.0851,0.2288,0,0,0,0,1,0,1
824,1329,1334,1682919.0,1682947.0,89.0,16.0,28.0,10584.0,110,134,1356,0,1,40,0.0325,0.3643,0.1786,0.0037,0.3125,1.0,1.0,1.9494,0.699,1.4472,0.8214,-0.0709,0.2532,0,0,0,0,1,0,1
825,1327,1332,1738096.0,1738114.0,72.0,15.0,18.0,8542.0,111,132,1358,0,1,40,0.0383,0.2,0.2778,0.0037,0.3333,1.0,1.0,1.8573,0.699,1.2553,0.7222,-0.0731,0.1954,0,0,0,0,1,0,1
826,1328,1334,1772580.0,1772598.0,64.0,14.0,19.0,7486.0,111,126,1358,0,1,40,0.0353,0.4074,0.3333,0.0044,0.4286,0.9474,1.0,1.8062,0.7782,1.2553,0.6667,-0.0862,0.215,0,0,0,0,1,0,1
827,1302,1308,2369532.0,2369561.0,115.0,18.0,29.0,14260.0,115,135,1352,0,1,40,0.0651,0.3391,0.2069,0.0044,0.3333,1.0,1.0,2.0607,0.7782,1.4624,0.7931,-0.0313,0.2984,0,0,0,0,1,0,1
828,1315,1321,2396372.0,2396392.0,58.0,15.0,20.0,7385.0,116,141,1352,0,1,40,0.0459,0.5167,0.3,0.0044,0.4,1.0,1.0,1.7634,0.7782,1.301,0.7,-0.0052,0.2288,0,0,0,0,1,0,1
829,1310,1316,2413168.0,2413186.0,60.0,16.0,19.0,7112.0,110,127,1352,0,1,40,0.0532,0.4444,0.3333,0.0044,0.375,0.9474,1.0,1.7781,0.7782,1.2553,0.6667,-0.074,0.215,0,0,0,0,1,0,1
838,123,132,785268.0,785285.0,78.0,15.0,17.0,11382.0,129,157,1658,1,0,143,0.1484,0.4902,0.5294,0.0054,0.6,1.0,1.0,1.8921,0.9542,1.2305,0.4706,0.14,0.2699,0,0,0,0,1,0,1
839,625,631,1934306.0,1934337.0,127.0,19.0,31.0,13897.0,99,125,1364,0,1,100,0.9164,0.3172,0.1936,0.0044,0.3158,1.0,1.0,2.1038,0.7782,1.4914,0.8065,-0.1451,0.3154,0,0,0,0,1,0,1
857,617,623,2163461.0,2163487.0,104.0,25.0,26.0,11941.0,106,127,1364,0,1,100,0.9047,0.3333,0.2308,0.0044,0.24,1.0,1.0,2.017,0.7782,1.415,0.7692,-0.103,0.2739,0,0,0,0,1,0,1
858,618,625,2172852.0,2172874.0,105.0,16.0,23.0,12094.0,106,125,1366,0,1,100,0.9048,0.3182,0.3182,0.0051,0.4375,0.9565,1.0,2.0212,0.8451,1.3424,0.6818,-0.1001,0.2712,0,0,0,0,1,0,1
859,616,622,2182058.0,2182079.0,82.0,14.0,21.0,9584.0,109,126,1366,0,1,100,0.9019,0.3492,0.2857,0.0044,0.4286,1.0,1.0,1.9138,0.7782,1.3222,0.7143,-0.0869,0.2359,0,0,0,0,1,0,1
860,615,622,2188217.0,2188232.0,57.0,13.0,15.0,6560.0,107,127,1366,0,1,100,0.9004,0.4571,0.4667,0.0051,0.5385,1.0,1.0,1.7559,0.8451,1.1761,0.5333,-0.1009,0.2116,0,0,0,0,1,0,1
861,615,623,2197352.0,2197376.0,111.0,21.0,24.0,12919.0,106,127,1366,0,1,100,0.9004,0.4219,0.3333,0.0059,0.381,1.0,1.0,2.0453,0.9031,1.3802,0.6667,-0.0907,0.3241,0,0,0,0,1,0,1
862,614,622,2206544.0,2206572.0,161.0,18.0,28.0,18877.0,108,134,1364,0,1,100,0.9003,0.2813,0.2857,0.0059,0.4444,1.0,1.0,2.2068,0.9031,1.4472,0.7143,-0.084,0.3725,0,0,0,0,1,0,1
863,614,622,2215716.0,2215730.0,68.0,13.0,14.0,7990.0,109,133,1364,0,1,100,0.9003,0.3929,0.5714,0.0059,0.6154,1.0,1.0,1.8325,0.9031,1.1461,0.4286,-0.082,0.2195,0,0,0,0,1,0,1
864,616,622,2224908.0,2224928.0,87.0,15.0,20.0,10196.0,109,127,1364,0,1,100,0.9032,0.275,0.3,0.0044,0.4,1.0,1.0,1.9395,0.7782,1.301,0.7,-0.0844,0.2288,0,0,0,0,1,0,1
865,612,622,2237084.0,2237099.0,87.0,15.0,15.0,10024.0,106,127,1364,0,1,100,0.8974,0.42,0.6667,0.0073,0.6667,1.0,1.0,1.9395,1.0,1.1761,0.3333,-0.0999,0.266,0,0,0,0,1,0,1
866,38,49,735612.0,735624.0,113.0,11.0,12.0,12652.0,93,130,1707,1,0,100,0.0445,0.1439,0.9167,0.0064,1.0,1.0,1.0,2.0531,1.0414,1.0792,0.0833,-0.1253,0.2432,0,0,0,0,0,1,1
868,1095,1102,3028545.0,3028556.0,41.0,8.0,11.0,4533.0,100,123,1467,1,0,120,0.4976,0.4675,0.6364,0.0048,0.875,1.0,1.0,1.6128,0.8451,1.0414,0.3636,-0.1362,0.1822,0,0,0,0,0,1,1
870,1159,1170,32914.0,32926.0,106.0,11.0,12.0,12792.0,100,134,1353,0,1,185,0.2705,0.197,0.9167,0.0081,1.0,1.0,1.0,2.0253,1.0414,1.0792,0.0833,-0.0572,0.2432,0,0,0,0,0,1,1
872,837,850,231429.0,231443.0,155.0,13.0,14.0,16093.0,55,134,1687,0,1,200,0.9923,0.1484,0.9286,0.0077,1.0,1.0,1.0,2.1903,1.1139,1.1461,0.0714,-0.1889,0.3097,0,0,0,0,0,1,1
873,390,402,2513153.0,2513182.0,247.0,14.0,29.0,26419.0,88,126,1387,0,1,50,0.5624,0.2902,0.4138,0.0087,0.8571,1.0,1.0,2.3927,1.0792,1.4624,0.5862,-0.1644,0.5757,0,0,0,0,0,1,1
876,1164,1173,466028.0,466057.0,202.0,15.0,29.0,21408.0,85,122,1353,0,1,70,0.2661,0.2261,0.3103,0.0066,0.6,1.0,1.0,2.3054,0.9542,1.4624,0.6897,-0.172,0.4317,0,0,0,0,0,1,1
878,367,374,303225.0,303262.0,198.0,10.0,37.0,22581.0,101,127,1227,0,1,40,0.5982,0.2355,0.1892,0.0057,0.7,1.0,1.0,2.2967,0.8451,1.5682,0.8108,-0.109,0.4284,0,0,0,0,0,1,1
879,932,943,3020344.0,3020360.0,128.0,12.0,16.0,13996.0,88,126,1687,0,1,50,0.882,0.2727,0.6875,0.0065,0.9167,1.0,1.0,2.1072,1.0414,1.2041,0.3125,-0.1458,0.3012,0,0,0,0,0,1,1
880,516,528,1346892.0,1346908.0,143.0,15.0,16.0,14742.0,76,125,1353,0,1,70,0.7628,0.2552,0.75,0.0089,0.8,1.0,1.0,2.1553,1.0792,1.2041,0.25,-0.1946,0.3241,0,0,0,0,0,1,1
881,1332,1347,70219.0,70241.0,221.0,19.0,22.0,24230.0,97,124,1687,1,0,70,0.4031,0.3303,0.6818,0.0089,0.7895,1.0,1.0,2.3444,1.1761,1.3424,0.3182,-0.1435,0.5461,0,0,0,0,0,1,1
882,480,492,1263623.0,1263637.0,114.0,15.0,14.0,12221.0,80,125,1687,1,0,70,0.5691,0.3214,0.8571,0.0071,0.8,1.0,1.0,2.0569,1.0792,1.1461,0.1429,-0.1625,0.2901,0,0,0,0,0,1,1
884,431,444,1587172.0,1587191.0,176.0,21.0,19.0,19565.0,86,135,1353,1,0,50,0.6371,0.2874,0.6842,0.0096,0.6191,1.0,1.0,2.2455,1.1139,1.2787,0.3158,-0.1315,0.4089,0,0,0,0,0,1,1
887,525,538,2922516.0,2922536.0,181.0,16.0,20.0,19537.0,78,130,1353,0,1,50,0.776,0.3038,0.65,0.0096,0.8125,1.0,1.0,2.2577,1.1139,1.301,0.35,-0.1567,0.43,0,0,0,0,0,1,1
889,99,115,203973.0,203987.0,106.0,25.0,16.0,12782.0,108,134,1362,1,0,80,0.1454,0.5268,0.875,0.0117,0.64,0.875,0.0,2.0253,1.2041,1.1461,-0.125,-0.0579,0.3725,0,0,0,0,0,1,1
890,383,396,133188.0,133203.0,127.0,19.0,15.0,13938.0,90,135,1688,1,0,60,0.4538,0.3487,0.8667,0.0077,0.6842,1.0,1.0,2.1038,1.1139,1.1761,0.1333,-0.1426,0.3285,0,0,0,0,0,1,1
